1;Какой вид работ проводится на медицинском стерилизаторе перед возобновлением эксплуатации после демонтажа и установки его в новом месте?;А. внеочередное техническое обслуживание в объеме очередного периодического технического обслуживания. ;Б. Внеочередное техническое освидетельствование.;В. Контрольная проверка механизма открытия-закрытия двери (крышки) стерилизационной камеры.;Г. Пробная эксплуатация (контрольный цикл).;2
2;Как оформляется допуск персонала к эксплуатации медицинских стерилизаторов?;А. Записью в паспорт (формуляр) стерилизатора.;Б. Письменным распоряжением лица, ответственного за безопасную эксплуатацию стерилизатора.;В. Записью в удостоверении.;Г. Приказом руководителя организации.;4
3;Внеочередная проверка знаний по вопросам охраны труда у персонала, допущенного к эксплуатации стерилизаторов медицинских проводится при перерыве в работе по специальности более…;А. …6 месяцев;Б. …2 месяца;В. …45 суток;Г. …3 месяца;1
4;Как часто должна проводится проверка знаний по вопросам охраны труда у персонала, допущенного к эксплуатации стерилизаторов медицинских? ;А. Не реже одного раза в 12 месяцев;Б. Не реже одного раза в 5 лет;В. Не реже одного раза в 3 года;Г. не реже одного раза в 6 месяцев;1
5;В каких из указанных ниже случаев у персонала, допущенного к эксплуатации стерилизаторов медицинскихпроводится внеочередная проверка знаний по вопросам охраны труда? а – при перемещении обслуживаемого стерилизатора на новое место. б – при переводе в другое структурное подразделение, эксплуатирующее стерилизатор иного типа (модели). в – при возникновении по вине персонала ситуаций, которые могут привести или привели к аварии, несчастному случаю на производстве и другим тяжелым последствиям по требованию ответственных лиц, органов надзора и контроля.;А. а, в;Б. а, б, в;В. б, в;Г. а, б;3
6;Как часто ответственные лица иработники, заменяющие лицо, ответственное за безопасную эксплуатацию стерилизаторов должны проходить повышение квалификации в учреждениях дополнительного образования взрослых?;А. Не реже одного раза в 8 лет;Б. Не реже одного раза в 10 лет;В. Не реже одного раза в 5 лет;Г. Не реже одного раза в 3 года ;3
7;Требуется ли вносить в паспорт стерилизатора номер и дату приказа о назначении специалиста, исполняющего обязанности лица, ответственного за безопасную эксплуатацию стерилизаторов, на период временного отсутствия (отпуск, болезнь и др.) штатного ответственного лица?;А. Требуется только в случае исполнения обязанностей более 1 месяца. ;Б. Требуется только в случае исполнения обязанностей более 2 месяцев.;В. Не требуется.;Г. Требуется в обязательном порядке. ;3
8;Кто в организации, осуществляющейэксплуатацию стерилизаторов медицинских, обеспечивает формирование и наличие в структурном подразделении комплекта ЛНПА по вопросам охраны труда, эксплутационной документации, технологической документации др.в соответствии с требованиями действующего законодательства?;А. Лицо, ответственное за техническое состояние стерилизаторов. ;Б. Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;В. Специалист по охране труда.;Г. Работник службы делопроизводства.;2
9;Кто в организации, осуществляющей эксплуатацию стерилизаторов медицинских обеспечивает проведение ежесменных осмотров и контроля технического состояния стерилизатора, внесение в соответствующих записей в журнал ежесменных осмотров и контроля технического состояния стерилизатора?;А. Лицо, ответственное за техническое состояние стерилизаторов.;Б. Лицо материально ответственное за стерилизатор.;В. Назначенный приказом работник из числа обслуживающего персонала. ;Г. Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;4
10;Сколько журналов ежесменных осмотров и контроля технического состояния стерилизаторов должно вестись в организации, осуществляющей эксплуатацию стерилизаторов медицинских? ;А. Два рабочих и контрольный.;Б. По одному на каждый стерилизатор. ;В. По одному на каждое структурное подразделение, в котором эксплуатируются стерилизаторы.;Г. Один на все стерилизаторы организации. ;2
11;Кто в организации, осуществляющей эксплуатацию стерилизаторов медицинских организовывает (проводит) учет циклов стерилизации с регистрацией в журнале контроля работы стерилизаторов?;А. Работник службы делопроизводства.;Б. Работник, осуществляющий стерилизацию.;В. Лицо, ответственное за техническое состояние стерилизаторов.;Г.Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;4
12;Какие из указанных ниже журналов должны быть в наличии в стерилизационном отделении? а – журнал регистрации инструктажа по охране труда. б – журнал ежедневного и ежемесячного контроля за состоянием охраны труда. в – журнал контроля работы стерилизаторов. г – журнал ежесменных осмотров и контроля технического состояния стерилизатора. д – журнал учета неисправностей стерилизаторов.;А. а, б, в, г, д;Б. б, г, д;В. а, в, д;Г. а, в, г;1
13;Что записывается в журнал контроля работы стерилизатора?;А. Время начала и продолжительность каждого цикла стерилизации.;Б. Все, что указано в других вариантах ответа.;В. Количество циклов стерилизации, выполненных в течение дня.;Г. Суммарное время работы стерилизатора в течение дня. ;3
14;Кто выполняет записи в журнале ежесменных осмотров и контроля технического состояния стерилизатора?;А. Лицо, ответственное за безопасную эксплуатацию стерилизаторов.;Б. Персонал, эксплуатирующий стерилизаторы, или лицо, ответственное за безопасную эксплуатацию стерилизаторов.;В. Лицо, ответственное за техническое состояние стерилизаторов.;Г. Технический персонал.;2
15;Куда записываются результаты технического освидетельствования стерилизатора медицинского?;А. В журнал ежесменных осмотров и контроля технического состояния стерилизатора.;Б. В журнал контроля работы стерилизаторов.;В. В журнал учета неисправностей стерилизаторов.;Г. В паспорт стерилизатора. ;4
16;Какой вид работ проводится на медицинском стерилизаторе перед возобновлением эксплуатации после демонтажа и установки его на новом месте? ;А. Внеочередное техническое обслуживание в объеме очередного периодического технического обслуживания.;Б. Пробная эксплуатация (контрольный цикл).;В. Контрольная проверка исправности механизма открытия-закрытия двери (крышки) стерилизационной камеры.;Г. Внеочередное техническое освидетельствование.;4
17;Какой вид работ проводится на медицинском стерилизаторе перед возобновлением эксплуатации, если стерилизатор не эксплуатировался в течение более шести месяцев?;А. Пробная эксплуатация (контрольный цикл).;Б. Внеочередное техническое обслуживание в объеме очередного периодического технического обслуживания.;В. Наружный и внутренний осмотр в объеме ежедневного осмотра. ;Г. Внеочередное техническое освидетельствование.;4
18;Какие виды работ допускается проводить в помещении, в котором проводятся гидравлические испытания стерилизатора медицинского?;А. Никакие.;Б. Уборку помещения.;В. Техническое обслуживание других стерилизаторов.;Г.Стерилизацию изделий, за исключением флаконов с растворами, на других стерилизаторах. ;1
19;Допускается ли проведение стерилизации при повреждении уплотнения дверей иликрышки стерилизатора?;А. Не допускается.;Б. Допускается, если струя вытекающегопараили рабочей среды не направлена на персонал.;В. Допускается, если величина пропуска рабочей среды уплотнения и производительность системы вентиляции помещения обеспечивают в воздухе помещения концентрацию пара и опасных веществ не превышающую ПДК.;Г. Допускается, если при таком уплотнении обеспечивается требуемое давление в стерилизационной камере. ;1
20;Допускается ли нахождение посторонних лиц в стерилизационном помещении организации здравоохранения во время работы стерилизатора?;А. Не допускается.;Б. Допускается только в отношении работников данной организации. ;В. Допускается только в отношении медицинского персонала. ;Г. Допускается в халатах и сменной обуви или бахилах.;1
21;Какие виды работ включает в себя эксплуатация стерилизаторов медицинских? а – проведение ежесменного технического обслуживания. б – собственно стерилизация. в – контроль за герметичностью стерилизационной камеры, температурой и давлением теплоносителя по показаниям контрольно-измерительных приборов, предохранительных и индикаторных устройств. ;А. б;Б. б, в;В. а, б;Г. а, б, в;2
22;Что укладывается перед медицинским стерилизатором в местах загрузки и выгрузки стерилизационных изделий и перед электрощитами питания стерилизаторов?;А. Электроизолирующий резиновый ковер. ;Б. Металлический лист размером не менее 1000х700 мм с рифленой поверхностью или лист из иного негорючего материала с нескользкой поверхностью. ;В. В этих местах что-либо укладывать запрещено.;Г. Мягкое покрытие, исключающее повреждение случайно упавших стерилизуемых изделий.;1
23;Какое требование предъявляется к запиранию дверей стерилизационного отделения(кабинета) во время работы стерилизаторов?;А. Двери должны быть заперты на замок, отпираемый изнутри без ключа.;Б. Двери не должны запираться. ;В. Двери должны быть заперты на замок, отпираемый снаружи без ключа посредством ввода цифрового кода.;Г. Двери должны быть заперты.;2
24;Допускаются ли двери из стекла или остекление отдельных фрагментов дверей в помещениях стерилизационных отделений?;А. Допускается при использовании матового или рифленого стекла.;Б. Не допускается.;В. Допускается только остекление отдельных фрагментов дверей армированным стеклом. ;Г. Допускается при использовании ударопрочного стекла. ;2
